,geo,text,user,location,created_at
95,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",goldbuff,British Columbia,2021-02-28 23:08:07
96,,"  BMI isn't a foolproof standard to assess potential health risk factors, but an obesity medicine physician said ""it's a good measur…",TastyTabiCat,"Los Angeles, CA",2021-02-28 23:07:41
97,,Hundreds more Covid-19 vaccine appointments open at NY state fairgrounds for early March -  ,TheRadioTFI,"Queens, NY - Worldwide",2021-02-28 23:07:32
98,,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…",ElainaCScott,"Los Angeles, CA",2021-02-28 23:07:24
99,,"  *U.S. authorizes J&amp;J's COVID-19 vaccine, making it third available -  $JNJ …",MikeShinzo,,2021-02-28 23:07:07
100,,"Vaccine Tracker visitors will easily find the latest on the vaccine rollout in Minnesota and North Dakota, where va… ",dglobe,"Worthington, MN",2021-02-28 23:07:03
101,,  We are proud to announce the opening of a COVID-19 vaccination site at AV Fairgrounds available to AV residents starti…,WalkerDi_QH,"Quartz Hill, CA",2021-02-28 23:06:51
102,,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…",AndreasBoos,USA,2021-02-28 23:06:30
103,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,IndpndntThnkn,I want Facts Not Idealogs,2021-02-28 23:06:13
104,,  If white people lived in these zip codes there'd be hell to pay.  Why is FEMA discriminati… ,CymioApps,United States,2021-02-28 23:06:07
105,,"  BREAKING: U.S. approves Johnson &amp; Johnson’s single-dose COVID-19 shot, adding a third vaccine option to the race against the virus.…",7kidchaos,United States,2021-02-28 23:06:02
106,,"  Getting an appointment for a COVID-19 vaccine has been elusive for many, leading some to go to drastic lengths to get a s…",flapper2000,,2021-02-28 23:05:33
107,,  NC is ranked #1 in the US for vaccinations of adults over 65. Way to go NC!I am so proud of our vaccine providers acro…,onlyburger,"Durham, North Carolina, USA",2021-02-28 23:05:32
108,,I know #hemo has connections with #johnsonandjohnson but has it had anything to do with it’s new single shot covid… ,hold_sell,,2021-02-28 23:05:32
109,,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…",countmystars,Los Angeles,2021-02-28 23:05:31
110,,  BREAKING—FDA declares that frozen vials of the Pfizer #COVID19 vaccine can now be transported &amp; stored at conventional free…,RealHamlin,"Pittsburgh,Pennsylvania, USA",2021-02-28 23:05:21
111,,"What total crap. Next they will call all people that have issues with vaccinations, domestic terrorists. Same playb… ",ageofdisclosure,Australia,2021-02-28 23:05:20
112,,"  A third vaccine is poised to join the fight against Covid-19, and its rollout will be quick, officials say ",MaryJan41952979,,2021-02-28 23:05:20
113,,"   The FDA said J&amp;J’s vaccine offers strong protection against what matters most: serious illness, hospitalizations and death. One…",MonicaWrightW8,"N. Huntingdon Township, PA",2021-02-28 23:05:12
114,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,SharonSchatz1,,2021-02-28 23:05:10
115,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",PatsyHiggins9,,2021-02-28 23:05:09
116,,  Vaccines are our best defense against #COVID19. Take it from  hall of fame announcer Bob Miller. To learn more abou…,LACOFD,"Los Angeles, California, USA",2021-02-28 23:04:55
117,,  A U.S. Centers for Disease Control and Prevention advisory panel voted on Sunday to recommend Johnson &amp; Johnson's COVID…,baymenh,Vaal Triangle ,2021-02-28 23:04:50
118,,"   You’re trying to rewrite history: Trump is no longer president, the vaccines were developed largely independe…",Woodyman502,,2021-02-28 23:04:30
119,,  Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,needlenymph,,2021-02-28 23:04:19
120,,"  Restaurant workers, teachers, daycare workers, nannies, people who pick our food, we love you SIGN UP AND GET VACCINATED htt…",StanislausFilms,LA & Detroit ,2021-02-28 23:04:08
121,,A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bo… ,KATVNews,"Little Rock, Ark.",2021-02-28 23:04:00
