,text,sentiment,country,neg,neu,pos,compound
315,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",France,0.0,0.787,0.213,0.5574
316,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
317,"  The Palestinians' COVID-19 vaccination plan faces a $30 million funding shortfall, even after factoring in support from…","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}",Israel,0.0,0.847,0.153,0.4019
319,"  If you've had the COVID-19 vaccine, it's vital that you continue to follow social distancing guidance.Read the latest guidance…","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.296}",USA,0.0,0.8909999999999999,0.109,0.29600000000000004
320,  Not alarming at all!!! 😂😂😂😂😂35 Michiganders have died after getting the COVID vaccine — but this stat is less alarming…,"{'neg': 0.149, 'neu': 0.796, 'pos': 0.055, 'compound': -0.4572}",USA,0.149,0.7959999999999999,0.055,-0.4572
322,"Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tenne… ","{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4939}",USA,0.17600000000000002,0.8240000000000001,0.0,-0.4939
323,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
324,"  Texas is diverting thousands of COVID-19 vaccine doses away from Dallas County, Judge Jenkins says | …","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada,0.0,1.0,0.0,0.0
325," 150,000 adverse reactions !!","{'neg': 0.507, 'neu': 0.493, 'pos': 0.0, 'compound': -0.4738}",UK,0.507,0.493,0.0,-0.4738
326,"Texas is diverting thousands of COVID-19 vaccine doses away from Dallas County, Judge Jenkins says |… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
327,  Johnson &amp; Johnson's COVID-19 shot gets CDC panel backing; vaccine near shipping  | via …,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.0258}",USA,0.0,0.9159999999999999,0.084,0.0258
328,"  Why Local News matters No. 3 Via  A politically-connected developer offered residents of two upscale, gated Fl…","{'neg': 0.135, 'neu': 0.798, 'pos': 0.067, 'compound': -0.2732}",USA,0.135,0.7979999999999999,0.067,-0.2732
329,"   3,862 vaccine does administered in 🔵 VIC ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Australia,0.0,1.0,0.0,0.0
330,"   The FDA said J&amp;J’s vaccine offers strong protection against what matters most: serious illness, hospitalizations and death. One…","{'neg': 0.327, 'neu': 0.502, 'pos': 0.17, 'compound': -0.6214}",USA,0.327,0.502,0.17,-0.6214
333,  More than 20 million in Britain get first COVID-19 vaccine dose  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Japan,0.0,1.0,0.0,0.0
335,Thinking about travelling abroad to get a COVID-19 vaccine ? Not a good idea. Vaccine tourism is both unethical a… ,"{'neg': 0.276, 'neu': 0.724, 'pos': 0.0, 'compound': -0.6914}",Canada,0.276,0.7240000000000001,0.0,-0.6914
345,"  know your audience, vaccine edition:","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
346,  Goff: Aucklanders must get Covid vaccine first — city loses $30m a day in lockdown  …,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}",New Zealand,0.161,0.8390000000000001,0.0,-0.3182
347,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.25}",Chile,0.0,0.909,0.091,0.25
348,via  Johnson &amp; Johnson Plans to Test Its Vaccine on Infants ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada,0.0,1.0,0.0,0.0
349,  Many people are unaware that the COVID-19 vaccine has significantly more side effects than the flu vaccine. I hope to see mo…,"{'neg': 0.174, 'neu': 0.711, 'pos': 0.115, 'compound': -0.128}",Japan,0.174,0.711,0.115,-0.128
350,  Goff: Aucklanders must get Covid vaccine first — city loses $30m a day in lockdown  …,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}",Canada,0.161,0.8390000000000001,0.0,-0.3182
353,  Johnson &amp; Johnson's COVID-19 shot gets CDC panel backing; vaccine near shipping  | via …,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.0258}",USA,0.0,0.9159999999999999,0.084,0.0258
355,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",Brazil,0.0,0.787,0.213,0.5574
357,FDA Authorizes J&amp;J COVID-19 Vaccine For Emergency Use : Coronavirus Updates : NPR ,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.3818}",USA,0.20600000000000002,0.794,0.0,-0.3818
359,Johnson &amp; Johnson's COVID-19 shot gets CDC panel backing; vaccine near shipping  | via… ,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.0258}",USA,0.0,0.9159999999999999,0.084,0.0258
361,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
362,  Vaccines are our best defense against #COVID19. Take it from  hall of fame announcer Bob Miller. To learn more abou…,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8225}",USA,0.0,0.664,0.336,0.8225
363,J&amp;J's COVID-19 shot gets CDC panel backing; vaccine near shipping ,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.0258}",USA,0.0,0.8909999999999999,0.109,0.0258
364,Vaccines are our best defense against #COVID19. Take it from  hall of fame announcer Bob Miller. To learn m… ,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.8225}",USA,0.0,0.65,0.35,0.8225
366,  A new lockdown has been imposed across the West Bank as Palestinians face a fresh surge of coronavirus cases and a continued w…,"{'neg': 0.06, 'neu': 0.833, 'pos': 0.106, 'compound': 0.25}",South Africa,0.06,0.833,0.106,0.25
368,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Canada,0.0,1.0,0.0,0.0
369,"Texas is diverting thousands of COVID-19 vaccine doses away from Dallas County, Judge Jenkins says ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
371,"  As mutant COVID variants multiply, the hunt is on for a ‘universal’ kill-all vaccine ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",South Africa,0.0,1.0,0.0,0.0
373,"The Ohio Department of Health is holding a COVID-19 Vaccine Town Hall for Rural Ohioans on Tuesday, March 2 at 6:30… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
374,  I find it deeply troubling that they want to put the no. of doses given in lovely tables but want to hide the no. adver…,"{'neg': 0.287, 'neu': 0.551, 'pos': 0.162, 'compound': -0.5922}",UK,0.287,0.551,0.162,-0.5922
376,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",Chile,0.0,0.787,0.213,0.5574
378,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
379,"Finally! DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices: ","{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.1759}",USA,0.0,0.892,0.10800000000000001,0.1759
380,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
381,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
382,    Don't you know how to use Google?I can find you one of a 100… ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
383,More than 20 million in Britain get first COVID-19 vaccine dose  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
385,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
386,  Gov. DeSantis expands COVID-19 vaccine eligibility for 'high-risk' people 65 and under  …,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.1027}",USA,0.0,0.887,0.113,0.1027
389,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",Svalbard and Jan Mayen,0.0,0.865,0.135,0.3612
391,"One of Pennsylvania’s largest health networks allowed employees' family members to skip the COVID-19 vaccine line,… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
392,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
393,  Not alarming at all!!! 😂😂😂😂😂35 Michiganders have died after getting the COVID vaccine — but this stat is less alarming…,"{'neg': 0.149, 'neu': 0.796, 'pos': 0.055, 'compound': -0.4572}",USA,0.149,0.7959999999999999,0.055,-0.4572
394,  We are proud to announce the opening of a COVID-19 vaccination site at AV Fairgrounds available to AV residents starti…,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.4767}",USA,0.0,0.853,0.147,0.4767
395,"  Vaccines are distributed to each county by the state. Visit the Maryland COVID-19 Vaccine Dashboard at,…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
396,  Pflugerville ISD will pay employees to get COVID-19 vaccine ,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.1027}",USA,0.149,0.851,0.0,-0.1027
397,Thank for pointing out ALL the fears ppl have about this vaccine: Team of health experts act as myth-busters to fig… ,"{'neg': 0.115, 'neu': 0.782, 'pos': 0.103, 'compound': -0.0772}",Australia,0.115,0.782,0.10300000000000001,-0.0772
402,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",USA,0.0,0.865,0.135,0.3612
403,"  BMI isn't a foolproof standard to assess potential health risk factors, but an obesity medicine physician said ""it's a good measur…","{'neg': 0.137, 'neu': 0.696, 'pos': 0.167, 'compound': 0.4035}",USA,0.13699999999999998,0.696,0.16699999999999998,0.4035
404,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
405,  WASHINGTON — A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option…,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",USA,0.0,0.895,0.105,0.25
406,Our colleagues continue to do remarkable work in extraordinary circumstances. A COVID-19 vaccine is essential in ke… ,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.5574}",UK,0.0,0.8059999999999999,0.19399999999999998,0.5574
407,Gov. Ron DeSantis expanded COVID-19 vaccine eligibility to allow Floridians younger than 65 who have high-risk medi… ,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.2263}",USA,0.0,0.894,0.106,0.2263
409,"Vaccines are distributed to each county by the state. Visit the Maryland COVID-19 Vaccine Dashboard at,… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
410,"Vaccines are distributed to each county by the state. Visit the Maryland COVID-19 Vaccine Dashboard at,… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
411,A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bo… ,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}",USA,0.0,0.9,0.1,0.25
413,We are proud to announce the opening of a COVID-19 vaccination site at AV Fairgrounds available to AV residents sta… ,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.4767}",USA,0.0,0.853,0.147,0.4767
414,"  Lying #POSer Lara Anton  of TX Dept State Health Services says no, ""they just aren't being allowed to get dos…","{'neg': 0.217, 'neu': 0.658, 'pos': 0.125, 'compound': -0.3328}",USA,0.217,0.6579999999999999,0.125,-0.3328
415,"Minnesota reported administering 70,000 vaccine doses in the last day. Of those, 47,000 were reported to be initial… ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
417,The United States is now getting a third COVID-19 vaccine. ,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",USA,0.0,0.741,0.259,0.4215
418,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",Mexico,0.0,0.865,0.135,0.3612
419,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",India,0.0,0.865,0.135,0.3612
423,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.3612}",France,0.0,0.865,0.135,0.3612
424,ALERT: CDC Panel Endorses Johnson &amp; Johnson's One-DoseCOVID-19 Vaccine - Global Pandemic News | #Coronavirus… ,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.6523}",USA,0.0,0.6729999999999999,0.327,0.6523
425,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
426,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.25}",USA,0.0,0.909,0.091,0.25
427,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
428,"know your audience, vaccine edition:","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
429,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.1027}",USA,0.0,0.935,0.065,0.1027
431,  Health unit gives update on immunization plans: Shipments expected this week and next; ‘absolute refusers’ won’t take vaccine…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
432,A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's… ,"{'neg': 0.0, 'neu': 0.857, 'pos': 0.143, 'compound': 0.3612}",UAE,0.0,0.857,0.14300000000000002,0.3612
433,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
434,"     Mild symptoms? You mean like blindness, st… ","{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.3612}",UK,0.0,0.706,0.294,0.3612
436," In Germany they don’t see their teachers as enemies, they vaccinate them as a priority group. “Teachers in… ","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4939}",UK,0.16699999999999998,0.833,0.0,-0.4939
437,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
438,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.25}",USA,0.0,0.909,0.091,0.25
440,  South Africa has signed an agreement with Johnson &amp; Johnson to secure 11 million COVID-19 vaccine doses and will ease r…,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.7964}",Belgium,0.0,0.69,0.31,0.7964
442,  South Africa has signed an agreement with Johnson &amp; Johnson to secure 11 million COVID-19 vaccine doses and will ease r…,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.7964}",USA,0.0,0.69,0.31,0.7964
443,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
444,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices …","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.1027}",USA,0.0,0.903,0.09699999999999999,0.1027
445,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.1027}",Greece,0.0,0.935,0.065,0.1027
447,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
448,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
449,A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bo… ,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}",USA,0.0,0.9,0.1,0.25
450,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
451,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
452,  GPs say they’re “utterly disgusted” DHB staff got priority over them for COVID19 vaccines. Emails Newshub has show DHB s…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New Zealand,0.0,1.0,0.0,0.0
455,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices …","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.1027}",USA,0.0,0.903,0.09699999999999999,0.1027
456,  WASHINGTON — A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option…,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",USA,0.0,0.895,0.105,0.25
458,  Kansas GOP continues to display how badly they'd handle the COVID-19 pandemic if they were left in charge. …,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}",USA,0.154,0.846,0.0,-0.4767
459,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
460,"Some say the newly approved COVID-19 vaccine is a ""game changer"" for hard-to-reach urban and rural areas… ","{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.4215}",USA,0.0,0.843,0.157,0.4215
461,WASHINGTON — A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third… ,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}",USA,0.0,0.889,0.111,0.25
462,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…","{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.4939}",USA,0.158,0.8420000000000001,0.0,-0.4939
463,  Gov. DeSantis expands COVID-19 vaccine eligibility for 'high-risk' people 65 and under  …,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.1027}",USA,0.0,0.887,0.113,0.1027
464,Johnson &amp; Johnson vaccine gets CDC thumbs-up; Fauci says easing restrictions is 'risky' as decline in cases stalls:… ,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.25}",USA,0.0,0.895,0.105,0.25
465,  More than 20 million people across the UK have received their first COVID-19 vaccine shot as the country makes progress with E…,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4215}",Australia,0.0,0.882,0.11800000000000001,0.4215
467,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
469,  Kansas GOP continues to display how badly they'd handle the COVID-19 pandemic if they were left in charge. …,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}",USA,0.154,0.846,0.0,-0.4767
472,"Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tenne… ","{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4939}",USA,0.17600000000000002,0.8240000000000001,0.0,-0.4939
473,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",Oman,0.0,0.787,0.213,0.5574
475,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",USA,0.0,0.787,0.213,0.5574
476,"DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices ","{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.1027}",USA,0.0,0.903,0.09699999999999999,0.1027
477,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices (via …","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.1027}",Puerto Rico,0.0,0.909,0.091,0.1027
478,  A U.S. advisory panel has endorsed the one-dose #COVID_19 #vaccine from Johnson &amp; Johnson as a third option in the fight again…,"{'neg': 0.115, 'neu': 0.796, 'pos': 0.088, 'compound': -0.1531}",USA,0.115,0.7959999999999999,0.08800000000000001,-0.1531
479,  Today on #SundayTODAY: A live report from Johnson &amp; Johnson’s headquarters after the FDA granted emergency use authorization…,"{'neg': 0.133, 'neu': 0.765, 'pos': 0.102, 'compound': -0.1531}",USA,0.133,0.765,0.102,-0.1531
481,  COVID-19 vaccine: 20 million people have received first coronavirus jab in UK ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA,0.0,1.0,0.0,0.0
482,  A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bolst…,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.25}",Nigeria,0.0,0.9,0.1,0.25
483,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.1027}",USA,0.0,0.935,0.065,0.1027
485,  Kansas GOP continues to display how badly they'd handle the COVID-19 pandemic if they were left in charge. …,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}",USA,0.154,0.846,0.0,-0.4767
486,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",UK,0.0,1.0,0.0,0.0
487,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.5574}",USA,0.0,0.787,0.213,0.5574
488,"   3,862 vaccine does administered in 🔵 VIC ","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Australia,0.0,1.0,0.0,0.0
489,  GPs say they’re “utterly disgusted” DHB staff got priority over them for COVID19 vaccines. Emails Newshub has show DHB s…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",New Zealand,0.0,1.0,0.0,0.0
490,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.25}",Greece,0.0,0.909,0.091,0.25
491,"  Meet Dr. , the Saudi epidemiologist heading the incredible team of researchers working on KSA's first coro…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Saudi Arabia,0.0,1.0,0.0,0.0
493,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…","{'neg': 0.0, 'neu': 0.935, 'pos': 0.065, 'compound': 0.1027}",USA,0.0,0.935,0.065,0.1027
